name,category,url,commission,region,joined,media_registered,verified_at,notes
# 제휴 프로그램 디렉터리 (docs/24-제휴프로그램-100선). joined/media_registered: y/n.
# commission은 조사 시점 값이며 변동됨 — 가입 시 재확인. verified_at은 마지막 확인월.
쿠팡 파트너스,국내커머스,https://partners.coupang.com,기본 3%(재확인),국내,n,n,2026-07,즉시가입 쿠키24h 국내1순위
네이버 쇼핑 커넥트,국내커머스,https://brandconnect.naver.com,최대 30%(재확인),국내,n,n,2026-07,채널 인증·승인 필요
올리브영 쇼핑 큐레이터,국내커머스,https://m.oliveyoung.co.kr/m/mtn/affiliate/guide,추천7%/기타3%,국내,n,n,2026-07,앱 링크생성 광고표기 필수
무신사 큐레이터,국내커머스,https://partner.musinsa.com,최대10%+(재확인),국내,n,n,2026-07,승인형
알리익스프레스 어필리에이트,해외직구,https://portals.aliexpress.com,최대9%(재확인),글로벌,n,n,2026-07,쿠키72h 한국가능
하프클럽,국내커머스,https://www.linkprice.com,재확인,국내,n,n,2026-07,네트워크 경유
에누리,국내커머스,https://www.enuri.com,적립형(재확인),국내,n,n,2026-07,소비자 적립성격
쿠차,국내커머스,https://www.coocha.co.kr,적립형(재확인),국내,n,n,2026-07,소비자 적립성격
11번가,국내커머스,https://ads.11st.co.kr,재확인,국내,n,n,2026-07,셀러중심 네트워크 경유
G마켓/옥션,국내커머스,https://partner.gmarket.com,재확인,국내,n,n,2026-07,셀러중심 네트워크 경유
텐핑,국내CPA,https://tenping.kr,CPC/CPS/CPA,국내,n,n,2026-07,무료·즉시 등급제 바이럴
애드픽,국내CPA,https://adpick.co.kr,CPI/CPA/CPS,국내,n,n,2026-07,앱설치·사전예약 강점
링크프라이스,국내CPA,https://ac.linkprice.net/join,머천트별 CPS/CPA,국내,n,n,2026-07,국내 300+ 머천트 딥링크
아이라이크클릭,국내CPA,https://www.ilikeclick.com,구매액%,국내,n,n,2026-07,무료 Hmall·이마트
디비디비딥,국내CPA,https://www.dbdbdeep.com,CPA 건당(재확인),국내,n,n,2026-07,주1회 출금 부업형
애드릭스,국내CPA,https://www.adlix.co.kr,캠페인별,국내,n,n,2026-07,블로그 없이도 가입
링크인피알,국내CPA,https://www.linkinpr.com,캠페인별,국내,n,n,2026-07,20년+ 빠른정산
